ID,Year of death,Age,Gender,Province,Vehicle
10114857,2562,28,1,Pattani, Motorcycle
9627291,2561,24,1,Nakhon Si Thammarat, Motorcycle
9626164,2561,25,1,Nakhon Si Thammarat, Motorcycle
9622962,2561,26,1,Nakhon Si Thammarat,Car
9622988,2561,27,1,Nakhon Si Thammarat, Motorcycle
9622993,2561,30,1,Nakhon Si Thammarat, Motorcycle
9622986,2561,35,1,Nakhon Si Thammarat, Motorcycle
9626815,2561,41,1,Nakhon Si Thammarat, Motorcycle
9622964,2561,46,1,Nakhon Si Thammarat, Motorcycle
9625731,2561,47,1,Nakhon Si Thammarat,Car
9626099,2561,48,1,Nakhon Si Thammarat, Motorcycle
9626412,2561,49,1,Nakhon Si Thammarat, Motorcycle
9622959,2561,52,1,Nakhon Si Thammarat, Motorcycle
9622968,2561,53,1,Nakhon Si Thammarat, Motorcycle
9622984,2561,53,1,Nakhon Si Thammarat, Motorcycle
9625730,2561,53,1,Nakhon Si Thammarat,Car
9625658,2561,54,1,Nakhon Si Thammarat,Car
9623771,2561,14,1,Krabi, Motorcycle
9626295,2561,27,1,Krabi, Motorcycle
9625322,2561,29,1,Krabi,Car
9625326,2561,33,1,Krabi, Motorcycle
9623767,2561,37,1,Krabi, Motorcycle
9622478,2561,45,1,Krabi,Car
9623774,2561,48,1,Krabi, Motorcycle
9623779,2561,49,1,Krabi, Motorcycle
9623777,2561,61,1,Krabi, Motorcycle
9622477,2561,70,1,Krabi,Car
9625554,2561,29,1,Phang Nga, Motorcycle
9625541,2561,40,1,Phang Nga,Car
9624441,2561,49,1,Phang Nga,Car
9624445,2561,58,1,Phang Nga, Motorcycle
9625543,2561,59,1,Phang Nga,Car
9621897,2561,16,1,Phuket, Motorcycle
9626531,2561,20,1,Phuket, Motorcycle
9623203,2561,26,1,Phuket, Motorcycle
9623782,2561,28,1,Phuket,Car
9623193,2561,32,1,Phuket, Motorcycle
9623196,2561,43,1,Phuket, Motorcycle
9623205,2561,43,1,Phuket, Motorcycle
9623783,2561,43,1,Phuket,Car
9623189,2561,44,1,Phuket, Motorcycle
9623197,2561,45,1,Phuket, Motorcycle
9621895,2561,47,1,Phuket,Car
9623190,2561,52,1,Phuket, Motorcycle
9623438,2561,21,1,Surat Thani, Motorcycle
9625931,2561,22,1,Surat Thani,Car
9625185,2561,29,1,Surat Thani, Motorcycle
9625187,2561,32,1,Surat Thani,Car
9622489,2561,41,1,Surat Thani, Motorcycle
9625602,2561,46,1,Surat Thani,Van
9623448,2561,47,1,Surat Thani, Motorcycle
9622069,2561,48,1,Surat Thani,Car
9623430,2561,48,1,Surat Thani,Van
9625515,2561,52,1,Surat Thani, Motorcycle
9625190,2561,54,1,Surat Thani, Motorcycle
9624666,2561,17,1,Ranong, Motorcycle
9624661,2561,51,1,Ranong, Motorcycle
9624663,2561,51,1,Ranong, Motorcycle
9625604,2561,35,1,Chumphon, Motorcycle
9626364,2561,35,1,Chumphon,Car
9624064,2561,39,1,Chumphon, Motorcycle
9624065,2561,48,1,Chumphon, Motorcycle
9625606,2561,53,1,Chumphon, Motorcycle
9622294,2561,55,1,Chumphon,Car
9627115,2561,24,1,Songkhla, Motorcycle
9626827,2561,25,1,Songkhla,Car
9625680,2561,26,1,Songkhla,Car
9623501,2561,26,1,Songkhla,Car
9623511,2561,30,1,Songkhla, Motorcycle
9622143,2561,35,1,Songkhla, Motorcycle
9625679,2561,35,1,Songkhla,Car
9621852,2561,35,1,Songkhla,Car
9625785,2561,39,1,Songkhla, Motorcycle
9623523,2561,42,1,Songkhla, Motorcycle
9623537,2561,43,1,Songkhla, Motorcycle
9623495,2561,45,1,Songkhla,Car
9623901,2561,46,1,Songkhla, Motorcycle
9622149,2561,46,1,Songkhla, Motorcycle
9623541,2561,56,1,Songkhla, Motorcycle
9623512,2561,60,1,Songkhla, Motorcycle
9627069,2561,68,1,Songkhla, Motorcycle
9626642,2561,23,1,Satun, Motorcycle
9625346,2561,32,1,Satun, Motorcycle
9625673,2561,39,1,Satun, Motorcycle
9624810,2561,61,1,Satun, Motorcycle
9627279,2561,20,1,Trang, Motorcycle
9622671,2561,21,1,Trang, Motorcycle
9622691,2561,22,1,Trang, Motorcycle
9622655,2561,30,1,Trang, Motorcycle
9622257,2561,32,1,Trang,Car
9622665,2561,36,1,Trang, Motorcycle
9622676,2561,37,1,Trang, Motorcycle
9626803,2561,37,1,Trang, Motorcycle
9627300,2561,43,1,Trang, Motorcycle
9627282,2561,54,1,Trang, Motorcycle
9627299,2561,57,1,Trang, Motorcycle
9622677,2561,58,1,Trang, Motorcycle
9626802,2561,59,1,Trang, Motorcycle
9622686,2561,63,1,Trang,Car
9622689,2561,69,1,Trang, Motorcycle
9624456,2561,26,1,Phatthalung, Motorcycle
9625298,2561,36,1,Phatthalung,Car
9626489,2561,39,1,Phatthalung, Motorcycle
9624450,2561,39,1,Phatthalung, Motorcycle
9624457,2561,40,1,Phatthalung, Motorcycle
9621867,2561,40,1,Phatthalung, Motorcycle
9626491,2561,40,1,Phatthalung,Car
9622234,2561,43,1,Phatthalung,Car
9624454,2561,45,1,Phatthalung, Motorcycle
9624412,2561,31,1,Pattani, Motorcycle
9624355,2561,15,1,Yala, Motorcycle
9623240,2561,25,1,Yala, Motorcycle
9623221,2561,27,1,Yala, Motorcycle
9623229,2561,29,1,Yala, Motorcycle
9625156,2561,34,1,Yala, Motorcycle
9623219,2561,38,1,Yala,Car
9623226,2561,52,1,Yala, Motorcycle
9627193,2561,15,1,Narathiwat, Motorcycle
9624192,2561,19,1,Narathiwat, Motorcycle
9624194,2561,29,1,Narathiwat, Motorcycle
9624174,2561,29,1,Narathiwat, Motorcycle
9625559,2561,31,1,Narathiwat,Car
9627010,2561,33,1,Narathiwat, Motorcycle
9625014,2561,33,1,Narathiwat, Motorcycle
9625430,2561,34,1,Narathiwat, Motorcycle
9624160,2561,35,1,Narathiwat, Motorcycle
9627009,2561,35,1,Narathiwat, Motorcycle
9624169,2561,51,1,Narathiwat, Motorcycle
9625419,2561,69,1,Narathiwat, Motorcycle
