Number,sector,Province,Population,Patients in the province 
1,1,Chiang Rai,1100072,28933
2,1,Nan,407358,10479
3,1,Phayao,404025,11860
4,1,Phrae,381211,8278
5,1,Chiang Mai,1515552,54640
6,1,Mae Hong Son,221526,8053
7,1,Lampang,638251,16665
8,1,Lamphun,348754,13759
9,1,Tak,497996,10713
10,1,Phitsanulok,721773,21007
11,1,Phetchabun,826449,15969
12,1,Sukhothai,502346,12930
13,1,Uttaradit,386209,10074
14,2,Chai Nat,275452,7987
15,1,Kamphaeng Phet,598808,15555
16,1,Phichit,452588,10431
17,1,Nakhon Sawan,882127,27707
18,1,Uthai Thani,274768,8642
19,2,Nonthaburi,1114616,40499
20,2,Pathum Thani,1011213,19370
21,2,Phra Nakhon Si Ayutthaya,697425,16938
22,2,Saraburi,538372,12718
23,2,Lopburi,631518,15072
24,2,Sing Buri,176119,10931
25,2,Ang Thong,235586,8708
26,2,Nakhon Nayok,221218,5290
27,2,Kanchanaburi,742425,16465
28,2,Nakhon Pathom,777533,11838
29,2,Ratchaburi,731940,15366
30,2,Suphan Buri,710118,14500
31,2,Prachuap Khiri Khan,462680,11855
32,2,Phetchaburi,410014,9355
33,2,Samut Songkhram,164300,3581
34,2,Samut Sakhon,471440,12022
35,2,Chachoengsao,607125,18404
36,2,Prachinburi,415536,7336
37,2,Sa Kaeo,464220,10595
38,2,Samut Prakan,1139143,15622
39,2,Jantaburee,450523,9295
40,2,Chonburee,1307326,24095
41,2,Trad,190434,4038
42,2,Rayong,620328,9705
43,3,Kanlasin,827435,17015
44,3,Khonkan,1522695,40852
45,3,Mahasarakam,810597,23431
46,3,Roiead,1106625,24127
47,3,Bingkan,348511,7328
48,3,Leay,536451,14714
49,3,Nongkai,435667,10260
50,3,Nongboulumphu,427625,8693
51,3,Audonthani,1318372,26634
52,3,Nakhonpanom,600936,12269
53,3,Sakonnakorn,959487,24124
54,3,Chaiyaphum,948694,24984
55,3,Nakhonratchasrima,2229024,68960
56,3,Burerum,1318567,35571
57,3,Sirin,1149514,30332
58,3,Mookdaharn,293233,10579
59,3,Yasorthon,453894,12658
60,3,Srisaked,1224180,28386
61,3,Aubonrattani,1560540,47491
62,3,Aumnagjareian,317111,7332
63,4,Chumporn,425052,7827
64,4,Nakhonsrithammarat,1283255,28274
65,4,Suratthani,877313,29088
66,4,Krabi,380076,6218
67,4,Pungnga,219084,4835
68,4,Phuket,332751,6410
69,4,Ranong,154627,4383
70,4,Puttalung,437580,12349
71,4,Trang,528911,15667
72,4,Narathiwat,617786,16020
73,4,Pattani,546670,12321
74,4,Yala,409706,9012
75,4,Songkhla,1164493,32865
76,4,Satun,256026,6363
