No,Year,Occupation,Number(people)
1,2556,Specialized production and service managers,12791
2,2557,Specialized production and service managers,13121
3,2556,Specialized production and service managers,12791
4,2556,Teaching professionals,1996
5,2557,Teaching professionals,3090
6,2556,Software and application analyst and developer,36856
7,2557,Software and application analyst and developer,47952
8,2558,Software and application analyst and developer,51749
9,2559,Software and application analyst and developer,46921
10,2560,Software and application analyst and developer,43511
11,2561,Software and application analyst and developer,40762
12,2562,Software and application analyst and developer,48141
13,2556,Database and network professionals,10378
14,2557,Database and network professionals,18364
15,2558,Database and network professionals,20642
16,2559,Database and network professionals,23199
17,2560,Database and network professionals,25477
18,2561,Database and network professionals,24458
19,2562,Database and network professionals,25283
20,2559,Communications technician,13264
21,2559,Database and network professionals,1347
22,2560,Database and network professionals,3326
23,2561,Database and network professionals,3044
24,2562,Database and network professionals,2226
25,2556,Database and network professionals,1198
26,2557,Database and network professionals,2089
27,2558,Database and network professionals,1654
28,2560,Communications technician,13784
29,2556,Operations technicians provide assistance in solving problems with ict users.,61965
30,2557,Operations technicians provide assistance in solving problems with ict users.,75070
31,2558,Operations technicians provide assistance in solving problems with ict users.,74487
32,2559,Operations technicians provide assistance in solving problems with ict users.,74677
33,2560,Operations technicians provide assistance in solving problems with ict users.,78745
34,2561,Operations technicians provide assistance in solving problems with ict users.,78403
35,2562,Operations technicians provide assistance in solving problems with ict users.,72391
