COASTAL_ID,TAMBON,DISTRICT,PROVINCE,PROVINCE_S,TYP_NAME_T,TYP_NAME_E,AREA_sqm
0,เกาะนางคำ,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,1260.13
1,เกาะนางคำ,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,3795552.88
2,เกาะนางคำ,ปากพะยูน,พัทลุง,พัทลุง,ลากูนปัจจุบัน,Young lagoon,46699537.92
3,เกาะนางคำ,ปากพะยูน,พัทลุง,พัทลุง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountian and Island",2431640.31
4,บ่อแดง,สทิงพระ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,6546803.33
5,บ่อแดง,สทิงพระ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,772513.97
6,บ่อแดง,สทิงพระ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,1690776.54
7,บ่อแดง,สทิงพระ,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,922726.15
8,กันตัง,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,1816647.53
9,กันตัง,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",3727311.27
10,ในควน,ย่านตาขาว,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",28568322.54
11,กันตังใต้,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,5437948.69
12,กันตังใต้,กันตัง,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,234945.05
13,กันตังใต้,กันตัง,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,1017060.2
14,กันตังใต้,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,24244807.11
15,กันตังใต้,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",14762963.41
16,เกาะลิบง,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,876456.9
17,เกาะลิบง,กันตัง,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,3514820.09
18,เกาะลิบง,กันตัง,ตรัง,ตรัง,หาดทรายเดิม,Old sandy beach,5390064.85
19,เกาะลิบง,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,16141986.4
20,เกาะลิบง,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",6960523.29
21,วัดจันทร์,สทิงพระ,สงขลา,สงขลา,ที่ราบน้ำขึ้นถึงเดิม,Old tidal flat,5791664.46
22,วัดจันทร์,สทิงพระ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,578628.03
23,วัดจันทร์,สทิงพระ,สงขลา,สงขลา,หาดทรายเดิม,Old sandy beach,1670831.53
24,วัดจันทร์,สทิงพระ,สงขลา,สงขลา,หาดทรายปัจจุบัน,Young sandy beach,871530.1
25,วังวน,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,285507.7
26,วังวน,กันตัง,ตรัง,ตรัง,ที่ราบน้ำขึ้นถึง,Intertidal flat,14399501.54
27,วังวน,กันตัง,ตรัง,ตรัง,แผ่นดิน ภูเขาและเกาะ,"Upland, mountains and island",20965826.06
28,เกาะมุกด์,กันตัง,ตรัง,ตรัง,ที่ราบใต้ระดับน้ำลง,Subtidal flat,70347.46
29,เกาะมุกด์,กันตัง,ตรัง,ตรัง,หาดทรายปัจจุบัน,Young sandy beach,505437.43
